paytm	Paytm	पे-टी-एम
zomato	Zomato	ज़ोमैटो
rapido	Rapido	रैपिडो
zepto	Zepto	ज़ेप्टो
flipkart	Flipkart	फ्लिपकार्ट
swiggy	Swiggy	स्विगी
ola	Ola	ओला
phonepe	PhonePe	फ़ोनपे
jio	Jio	जियो
amazon	Amazon	ऐमज़ॉन
google	Google	गूगल
whatsapp	WhatsApp	व्हाट्सऐप
instagram	Instagram	इंस्टाग्राम
facebook	Facebook	फ़ेसबुक
youtube	YouTube	यूट्यूब
twitter	Twitter	ट्विटर
snapchat	Snapchat	स्नैपचैट
telegram	Telegram	टेलीग्राम
uber	Uber	उबर
myntra	Myntra	मिंत्रा
nykaa	Nykaa	नायका
bigbasket	BigBasket	बिगबास्केट
grofers	Grofers	ग्रोफर्स
blinkit	Blinkit	ब्लिंकिट
dunzo	Dunzo	डनज़ो
meesho	Meesho	मीशो
udaan	Udaan	उड़ान
oyo	OYO	ओयो
makemytrip	MakeMyTrip	मेकमाईट्रिप
goibibo	Goibibo	गोआइबिबो
irctc	IRCTC	आईआरसीटीसी
redbus	RedBus	रेडबस
gpay	Google Pay	गूगल पे
googlepay	Google Pay	गूगल पे
bharatpe	BharatPe	भारतपे
cred	CRED	क्रेड
mobikwik	MobiKwik	मोबिक्विक
freecharge	FreeCharge	फ्रीचार्ज
airtel	Airtel	एयरटेल
vodafone	Vodafone	वोडाफ़ोन
bsnl	BSNL	बीएसएनएल
tata	Tata	टाटा
reliance	Reliance	रिलायंस
hdfc	HDFC	एचडीएफसी
icici	ICICI	आईसीआईसीआई
sbi	SBI	एसबीआई
axis	Axis	एक्सिस
kotak	Kotak	कोटक
bajaj	Bajaj	बजाज
mahindra	Mahindra	महिंद्रा
maruti	Maruti	मारुति
hero	Hero	हीरो
honda	Honda	होंडा
hyundai	Hyundai	ह्युंडई
samsung	Samsung	सैमसंग
apple	Apple	ऐपल
oneplus	OnePlus	वनप्लस
realme	Realme	रियलमी
vivo	Vivo	विवो
oppo	Oppo	ओप्पो
mi	Mi	मी
xiaomi	Xiaomi	शाओमी
noise	Noise	नॉइज़
boat	boAt	बोट
netflix	Netflix	नेटफ्लिक्स
hotstar	Hotstar	हॉटस्टार
primevideo	Prime Video	प्राइम वीडियो
spotify	Spotify	स्पॉटिफाई
gaana	Gaana	गाना
wynk	Wynk	विंक
